Property,RegistryKeyword,PropertyDisplayName,Classification,Risk,ApplyAllowed,AcceptedModes,OperatorVisible,Coverage,PresentTargets,MissingTargets,InterfaceDescriptions,CurrentValuesSeen,PossibleDisplayValues,Rationale
Fat Channel Intolerant,FatChannelIntolerant,Fat Channel Intolerant,live-tested,medium,TRUE,WriteOnly,TRUE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,Disabled,Disabled; Enabled,Acceptable medium-risk compatibility toggle after staged live testing and rollback.
Preferred Band,RoamingPreferredBandType,Preferred Band,live-tested,medium,TRUE,WriteOnly; RestartBE200,TRUE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,4. Prefer 6GHz band,1. No Preference; 2. Prefer 2.4GHz band; 3. Prefer 5GHz band; 4. Prefer 6GHz band; 5. Prefer 5GHz + 6GHz band,Validated rollout path with successful GUI-driven write and restart verification.
Roaming Aggressiveness,RoamAggressiveness,Roaming Aggressiveness,live-tested,low,TRUE,WriteOnly; RestartBE200,TRUE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,3. Medium,1. Lowest; 2. Medium-low; 3. Medium; 4. Medium-High; 5. Highest,Low-risk roaming preference with successful staged GUI apply and rollback.
Throughput Booster,ThroughputBoosterEnabled,Throughput Booster,live-tested,low,TRUE,WriteOnly,TRUE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,Disabled,Disabled; Enabled,Low-risk throughput optimization toggle accepted after staged live testing and rollback.
U-APSD support,uAPSDSupport,U-APSD support,live-tested,low,TRUE,WriteOnly; RestartBE200,TRUE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,Disabled,Disabled; Enabled,Low-risk power-save toggle with successful staged GUI apply and rollback.
802.11a/b/g Wireless Mode,WirelessMode,802.11a/b/g Wireless Mode,validation-only,high,FALSE,,TRUE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,1. 5GHz  802.11a; 6. Dual Band 802.11a/b/g,1. 5GHz  802.11a; 2. 2.4GHz 802.11b; 3. 2.4GHz 802.11g; 4. 2.4GHz 802.11b/g; 5. Dual Band 802.11a/g; 6. Dual Band 802.11a/b/g,Legacy wireless mode forcing remains validation-only because of broader compatibility risk.
802.11n/ac/ax/be Wireless Mode,IEEE11nMode,802.11n/ac/ax/be Wireless Mode,validation-only,high,FALSE,,TRUE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,4. 802.11ax; 5. 802.11be,1. Disabled; 2. 802.11n; 3. 802.11ac; 4. 802.11ax; 5. 802.11be,PHY mode forcing can materially alter connectivity and is not accepted for live apply.
Channel Width for 2.4GHz,ChannelWidth24,Channel Width for 2.4GHz,validation-only,medium,FALSE,,TRUE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,20 MHz Only,20 MHz Only; Auto,"Channel-width changes can affect association behavior, so apply remains deferred."
Channel Width for 5GHz,ChannelWidth52,Channel Width for 5GHz,validation-only,medium,FALSE,,TRUE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,Auto,20 MHz Only; Auto,5 GHz width changes are validated structurally but not accepted for live operator apply.
Channel Width for 6GHz,ChannelWidth6,Channel Width for 6GHz,validation-only,medium,FALSE,,TRUE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,Auto,20 MHz Only; Auto,6 GHz width changes are validated structurally but remain outside live accepted scope.
Channel-Load usage for AP Selection,EnableChLoad4ApSelection,Channel-Load usage for AP Selection,validation-only,low,FALSE,,TRUE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,Enabled,Disabled; Enabled,AP selection tuning is structurally supported but not yet in live accepted scope.
MIMO Power Save Mode,MIMOPowerSaveMode,MIMO Power Save Mode,validation-only,medium,FALSE,,TRUE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,Auto SMPS,Auto SMPS; Dynamic SMPS; No SMPS; Static SMPS,MIMO power-save behavior remains validation-only until broader live testing exists.
Mixed Mode Protection,CtsToItself,Mixed Mode Protection,validation-only,medium,FALSE,,TRUE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,RTS/CTS Enabled,CTS-to-self Enabled; RTS/CTS Enabled,Protection-mode tuning is available for validation but not yet accepted for live apply.
