PropertyDisplayName,RegistryKeyword,CommonAcrossTargets,VariantAcrossTargets,DiscoveredValues,ProposedRiskClass,ProposedTestMode,AcceptanceStatus,Notes,ApplyAllowed,AcceptedModes,OperatorVisible,Coverage,PresentTargets,MissingTargets,InterfaceDescriptions,CurrentValuesSeen,PossibleDisplayValues,Rationale
Channel Width for 2.4GHz,ChannelWidth24,TRUE,FALSE,20 MHz Only; Auto,medium,WriteOnly,live-tested,"Successful staged GUI WriteOnly apply, read-back, and rollback verification on .221 and on the .221/.222 subset.",TRUE,WriteOnly,TRUE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,20 MHz Only,20 MHz Only; Auto,
Channel Width for 5GHz,ChannelWidth52,TRUE,FALSE,20 MHz Only; Auto,medium,WriteOnly,live-tested,"Successful staged GUI WriteOnly apply, read-back, and rollback verification on .221 and on the .221/.222 subset.",TRUE,WriteOnly,TRUE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,Auto,20 MHz Only; Auto,
Channel Width for 6GHz,ChannelWidth6,TRUE,FALSE,20 MHz Only; Auto,medium,WriteOnly,live-tested,"Successful staged GUI WriteOnly apply, read-back, and rollback verification on .221 and on the .221/.222 subset.",TRUE,WriteOnly,TRUE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,Auto,20 MHz Only; Auto,
Channel-Load usage for AP Selection,EnableChLoad4ApSelection,TRUE,FALSE,Disabled; Enabled,low,WriteOnly,live-tested,"Successful staged GUI WriteOnly apply, read-back, and rollback verification on .221 and on the .221/.222 subset.",TRUE,WriteOnly,TRUE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,Enabled,Disabled; Enabled,
Fat Channel Intolerant,FatChannelIntolerant,TRUE,FALSE,Disabled; Enabled,medium,WriteOnly,live-tested,Acceptable medium-risk compatibility toggle after staged live testing and rollback.,TRUE,WriteOnly,TRUE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,Disabled,Disabled; Enabled,
MIMO Power Save Mode,MIMOPowerSaveMode,TRUE,FALSE,Auto SMPS; Dynamic SMPS; No SMPS; Static SMPS,medium,WriteOnly,live-tested,"Successful staged GUI WriteOnly apply, read-back, and rollback verification on .221 and on the .221/.222 subset.",TRUE,WriteOnly,TRUE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,Auto SMPS,Auto SMPS; Dynamic SMPS; No SMPS; Static SMPS,
Mixed Mode Protection,CtsToItself,TRUE,FALSE,CTS-to-self Enabled; RTS/CTS Enabled,medium,WriteOnly,live-tested,"Successful staged GUI WriteOnly apply, read-back, and rollback verification on .221 and on the .221/.222 subset.",TRUE,WriteOnly,TRUE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,RTS/CTS Enabled,CTS-to-self Enabled; RTS/CTS Enabled,
Preferred Band,RoamingPreferredBandType,TRUE,FALSE,1. No Preference; 2. Prefer 2.4GHz band; 3. Prefer 5GHz band; 4. Prefer 6GHz band; 5. Prefer 5GHz + 6GHz band,medium,WriteOnly; RestartBE200,live-tested,Validated rollout path with successful GUI-driven write and restart verification.,TRUE,WriteOnly; RestartBE200,TRUE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,4. Prefer 6GHz band,1. No Preference; 2. Prefer 2.4GHz band; 3. Prefer 5GHz band; 4. Prefer 6GHz band; 5. Prefer 5GHz + 6GHz band,
Roaming Aggressiveness,RoamAggressiveness,TRUE,FALSE,1. Lowest; 2. Medium-low; 3. Medium; 4. Medium-High; 5. Highest,low,WriteOnly; RestartBE200,live-tested,Low-risk roaming preference with successful staged GUI apply and rollback.,TRUE,WriteOnly; RestartBE200,TRUE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,3. Medium,1. Lowest; 2. Medium-low; 3. Medium; 4. Medium-High; 5. Highest,
Throughput Booster,ThroughputBoosterEnabled,TRUE,FALSE,Disabled; Enabled,low,WriteOnly,live-tested,Low-risk throughput optimization toggle accepted after staged live testing and rollback.,TRUE,WriteOnly,TRUE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,Disabled,Disabled; Enabled,
