PropertyDisplayName,RegistryKeyword,TargetPresencePattern,CommonAcrossTargets,VariantAcrossTargets,DiscoveredValues,CurrentValuesAcrossTargets,ProposedRiskClass,ProposedTestMode,ModesAttempted,TargetsUsedForTesting,HighestAcceptedRolloutScope,ReadBackResult,RollbackResult,AcceptanceStatus,ExactReason,Notes,ApplyAllowed,AcceptedModes,OperatorVisible,Coverage,PresentTargets,MissingTargets,InterfaceDescriptions,CurrentValuesSeen,PossibleDisplayValues,Rationale
802.11a/b/g Wireless Mode,WirelessMode,present=192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228 | missing=none,TRUE,FALSE,1. 5GHz  802.11a; 2. 2.4GHz 802.11b; 3. 2.4GHz 802.11g; 4. 2.4GHz 802.11b/g; 5. Dual Band 802.11a/g; 6. Dual Band 802.11a/b/g,4. 2.4GHz 802.11b/g,high,WriteOnly; RestartBE200,WriteOnly; RestartBE200,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,All 8 allowlisted targets (192.168.22.221-228),Pass,Pass,live-tested,"Successful staged GUI WriteOnly apply, read-back, and rollback verification on .221 and on the .221/.222 subset.","Successful staged GUI WriteOnly apply, read-back, and rollback verification on .221 and on the .221/.222 subset.",TRUE,WriteOnly; RestartBE200,TRUE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,4. 2.4GHz 802.11b/g,1. 5GHz  802.11a; 2. 2.4GHz 802.11b; 3. 2.4GHz 802.11g; 4. 2.4GHz 802.11b/g; 5. Dual Band 802.11a/g; 6. Dual Band 802.11a/b/g,
802.11n/ac/ax/be Wireless Mode,IEEE11nMode,present=192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228 | missing=none,TRUE,TRUE,1. Disabled; 2. 802.11n; 3. 802.11ac; 4. 802.11ax; 5. 802.11be,4. 802.11ax; 5. 802.11be,high,WriteOnly; RestartBE200,WriteOnly; RestartBE200,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,All 8 allowlisted targets (192.168.22.221-228),Pass,Pass,live-tested,"Successful staged GUI WriteOnly apply, read-back, and rollback verification on .221 and on the .221/.222 subset.","Successful staged GUI WriteOnly apply, read-back, and rollback verification on .221 and on the .221/.222 subset.",TRUE,WriteOnly; RestartBE200,TRUE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,4. 802.11ax; 5. 802.11be,1. Disabled; 2. 802.11n; 3. 802.11ac; 4. 802.11ax; 5. 802.11be,
ARP offload for WoWLAN,*PMARPOffload,present=192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228 | missing=none,TRUE,FALSE,Disabled; Enabled,Enabled,high,WriteOnly; RestartBE200,WriteOnly; RestartBE200,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,All 8 allowlisted targets (192.168.22.221-228),Pass,Pass,live-tested,"Successful staged GUI WriteOnly apply, read-back, and rollback verification on .221 and on the .221/.222 subset.","Successful staged GUI WriteOnly apply, read-back, and rollback verification on .221 and on the .221/.222 subset.",TRUE,WriteOnly; RestartBE200,TRUE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,Enabled,Disabled; Enabled,
Channel Width for 2.4GHz,ChannelWidth24,present=192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228 | missing=none,TRUE,FALSE,20 MHz Only; Auto,Auto,medium,WriteOnly; RestartBE200,WriteOnly; RestartBE200,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,All 8 allowlisted targets (192.168.22.221-228),Pass,Pass,live-tested,"Successful staged GUI WriteOnly apply, read-back, and rollback verification on .221 and on the .221/.222 subset.","Successful staged GUI WriteOnly apply, read-back, and rollback verification on .221 and on the .221/.222 subset.",TRUE,WriteOnly; RestartBE200,TRUE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,Auto,20 MHz Only; Auto,
Channel Width for 5GHz,ChannelWidth52,present=192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228 | missing=none,TRUE,FALSE,20 MHz Only; Auto,Auto,medium,WriteOnly; RestartBE200,WriteOnly; RestartBE200,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,All 8 allowlisted targets (192.168.22.221-228),Pass,Pass,live-tested,"Successful staged GUI WriteOnly apply, read-back, and rollback verification on .221 and on the .221/.222 subset.","Successful staged GUI WriteOnly apply, read-back, and rollback verification on .221 and on the .221/.222 subset.",TRUE,WriteOnly; RestartBE200,TRUE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,Auto,20 MHz Only; Auto,
Channel Width for 6GHz,ChannelWidth6,present=192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228 | missing=none,TRUE,FALSE,20 MHz Only; Auto,Auto,medium,WriteOnly; RestartBE200,WriteOnly; RestartBE200,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,All 8 allowlisted targets (192.168.22.221-228),Pass,Pass,live-tested,"Successful staged GUI WriteOnly apply, read-back, and rollback verification on .221 and on the .221/.222 subset.","Successful staged GUI WriteOnly apply, read-back, and rollback verification on .221 and on the .221/.222 subset.",TRUE,WriteOnly; RestartBE200,TRUE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,Auto,20 MHz Only; Auto,
Channel-Load usage for AP Selection,EnableChLoad4ApSelection,present=192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228 | missing=none,TRUE,FALSE,Disabled; Enabled,Enabled,low,WriteOnly; RestartBE200,WriteOnly; RestartBE200,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,All 8 allowlisted targets (192.168.22.221-228),Pass,Pass,live-tested,"Successful staged GUI WriteOnly apply, read-back, and rollback verification on .221 and on the .221/.222 subset.","Successful staged GUI WriteOnly apply, read-back, and rollback verification on .221 and on the .221/.222 subset.",TRUE,WriteOnly; RestartBE200,TRUE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,Enabled,Disabled; Enabled,
Fat Channel Intolerant,FatChannelIntolerant,present=192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228 | missing=none,TRUE,FALSE,Disabled; Enabled,Disabled,medium,WriteOnly; RestartBE200,WriteOnly; RestartBE200,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,All 8 allowlisted targets (192.168.22.221-228),Pass,Pass,live-tested,Acceptable medium-risk compatibility toggle after staged live testing and rollback.,Acceptable medium-risk compatibility toggle after staged live testing and rollback.,TRUE,WriteOnly; RestartBE200,TRUE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,Disabled,Disabled; Enabled,
GTK rekeying for WoWLAN,*PMWiFiRekeyOffload,present=192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228 | missing=none,TRUE,FALSE,Disabled; Enabled,Enabled,high,WriteOnly; RestartBE200,WriteOnly; RestartBE200,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,All 8 allowlisted targets (192.168.22.221-228),Pass,Pass,live-tested,"Successful staged GUI WriteOnly apply, read-back, and rollback verification on .221 and on the .221/.222 subset.","Successful staged GUI WriteOnly apply, read-back, and rollback verification on .221 and on the .221/.222 subset.",TRUE,WriteOnly; RestartBE200,TRUE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,Enabled,Disabled; Enabled,
MIMO Power Save Mode,MIMOPowerSaveMode,present=192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228 | missing=none,TRUE,FALSE,Auto SMPS; Dynamic SMPS; No SMPS; Static SMPS,Auto SMPS,medium,WriteOnly; RestartBE200,WriteOnly; RestartBE200,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,All 8 allowlisted targets (192.168.22.221-228),Pass,Pass,live-tested,"Successful staged GUI WriteOnly apply, read-back, and rollback verification on .221 and on the .221/.222 subset.","Successful staged GUI WriteOnly apply, read-back, and rollback verification on .221 and on the .221/.222 subset.",TRUE,WriteOnly; RestartBE200,TRUE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,Auto SMPS,Auto SMPS; Dynamic SMPS; No SMPS; Static SMPS,
Mixed Mode Protection,CtsToItself,present=192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228 | missing=none,TRUE,FALSE,CTS-to-self Enabled; RTS/CTS Enabled,RTS/CTS Enabled,medium,WriteOnly; RestartBE200,WriteOnly; RestartBE200,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,All 8 allowlisted targets (192.168.22.221-228),Pass,Pass,live-tested,"Successful staged GUI WriteOnly apply, read-back, and rollback verification on .221 and on the .221/.222 subset.","Successful staged GUI WriteOnly apply, read-back, and rollback verification on .221 and on the .221/.222 subset.",TRUE,WriteOnly; RestartBE200,TRUE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,RTS/CTS Enabled,CTS-to-self Enabled; RTS/CTS Enabled,
