"ComputerName","TargetIP","AdapterName","InterfaceDescription","PropertyDisplayName","RegistryKeyword","CurrentDisplayValue","RegistryValue","PossibleDisplayValues","PossibleRegistryValues"
"ADMIN","192.168.22.226","Wi-Fi 6","Intel(R) Wi-Fi 7 BE200 320MHz #6",,"DriverDesc",,"Intel(R) Wi-Fi 7 BE200 320MHz","",""
"ADMIN","192.168.22.226","Wi-Fi 6","Intel(R) Wi-Fi 7 BE200 320MHz #6",,"ProviderName",,"Intel","",""
"ADMIN","192.168.22.226","Wi-Fi 6","Intel(R) Wi-Fi 7 BE200 320MHz #6",,"DriverDate",,"2-12-2026","",""
"ADMIN","192.168.22.226","Wi-Fi 6","Intel(R) Wi-Fi 7 BE200 320MHz #6",,"DriverVersion",,"24.20.2.1","",""
"ADMIN","192.168.22.226","Wi-Fi 6","Intel(R) Wi-Fi 7 BE200 320MHz #6",,"InfPath",,"oem100.inf","",""
"ADMIN","192.168.22.226","Wi-Fi 6","Intel(R) Wi-Fi 7 BE200 320MHz #6",,"InfSection",,"Install_GEN_BLZ_GaP_200_BE_2x2_WinA","",""
"ADMIN","192.168.22.226","Wi-Fi 6","Intel(R) Wi-Fi 7 BE200 320MHz #6",,"MatchingDeviceId",,"PCI\VEN_8086&DEV_272B&SUBSYS_00F48086","",""
"ADMIN","192.168.22.226","Wi-Fi 6","Intel(R) Wi-Fi 7 BE200 320MHz #6",,"ExternalImage",,"0","",""
"ADMIN","192.168.22.226","Wi-Fi 6","Intel(R) Wi-Fi 7 BE200 320MHz #6",,"FixedSupportedRates",,"4095","",""
"ADMIN","192.168.22.226","Wi-Fi 6","Intel(R) Wi-Fi 7 BE200 320MHz #6",,"ModulationType",,"2","",""
"ADMIN","192.168.22.226","Wi-Fi 6","Intel(R) Wi-Fi 7 BE200 320MHz #6",,"RadioEnable",,"1","",""
"ADMIN","192.168.22.226","Wi-Fi 6","Intel(R) Wi-Fi 7 BE200 320MHz #6",,"RecommendedBeaconInterval",,"100","",""
"ADMIN","192.168.22.226","Wi-Fi 6","Intel(R) Wi-Fi 7 BE200 320MHz #6",,"AtomMaxDpcTime",,"20","",""
"ADMIN","192.168.22.226","Wi-Fi 6","Intel(R) Wi-Fi 7 BE200 320MHz #6",,"MaxDpcTime",,"30","",""
"ADMIN","192.168.22.226","Wi-Fi 6","Intel(R) Wi-Fi 7 BE200 320MHz #6",,"DuplicateRateSupported",,"0","",""
"ADMIN","192.168.22.226","Wi-Fi 6","Intel(R) Wi-Fi 7 BE200 320MHz #6","Channel Width for 2.4GHz","ChannelWidth24","20 MHz Only","0","20 MHz Only; Auto","0; 1"
"ADMIN","192.168.22.226","Wi-Fi 6","Intel(R) Wi-Fi 7 BE200 320MHz #6","Channel Width for 5GHz","ChannelWidth52","Auto","1","20 MHz Only; Auto","0; 1"
